[617.7662,619.6357]
[621.4839,623.2900]
[625.0335,626.6947]
[628.2547,629.6959]
[631.0019,632.1580]
[633.1510,633.9696]
[634.6047,635.0490]
[635.2975,635.3473]
[635.1980,634.8511]
[634.3106,633.5827]
[632.6756,631.5996]
[630.3668,628.9912]
[627.4885,625.8756]
[624.1708,622.3935]
[620.5637,618.7023]
[616.8302,614.9687]
[613.1390,611.3616]
[609.6569,608.0440]
[606.5412,605.1657]
[603.9329,602.8569]
[601.9497,601.2218]
[600.6814,600.3345]
[600.1851,600.2350]
[600.4835,600.9277]
[601.5628,602.3815]
[603.3745,604.5305]
[605.8365,607.2777]
[608.8378,610.4989]
[612.2425,614.0486]
[615.8968,617.7662]
[389.8516,196.0351,19.8445]
[409.6961,409.5836]
[409.2476,408.6919]
[407.9226,406.9487]
[405.7810,404.4328]
[402.9194,401.2579]
[399.4672,397.5676]
[395.5805,393.5285]
[391.4349,389.3233]
[387.2177,385.1419]
[383.1195,381.1734]
[379.3256,377.5971]
[376.0074,374.5746]
[373.3149,372.2425]
[371.3697,370.7062]
[370.2597,370.0352]
[370.0352,370.2597]
[370.7062,371.3697]
[372.2425,373.3149]
[374.5746,376.0074]
[377.5971,379.3256]
[381.1734,383.1195]
[385.1419,387.2177]
[389.3233,391.4349]
[393.5285,395.5805]
[397.5676,399.4672]
[401.2579,402.9194]
[404.4328,405.7810]
[406.9487,407.9226]
[408.6919,409.2476]
[409.5836,409.6961]
[196.0351,198.1444]
[200.2299,202.2678]
[204.2351,206.1095]
[207.8697,209.4958]
[210.9695,212.2739]
[213.3943,214.3181]
[215.0346,215.5360]
[215.8163,215.8726]
[215.7040,215.3126]
[214.7028,213.8815]
[212.8580,211.6438]
[210.2528,208.7007]
[207.0051,205.1852]
[203.2617,201.2562]
[199.1916,197.0913]
[194.9789,192.8786]
[190.8139,188.8085]
[186.8849,185.0650]
[183.3695,181.8174]
[180.4264,179.2122]
[178.1887,177.3674]
[176.7575,176.3662]
[176.1976,176.2539]
[176.5342,177.0355]
[177.7521,178.6759]
[179.7963,181.1007]
[182.5743,184.2005]
[185.9607,187.8351]
[189.8024,191.8403]
[193.9257,196.0351]
[711.9056,208.9631,19.3314]
[731.2369,731.1274]
[730.8001,730.2587]
[729.5094,728.5606]
[727.4231,726.1097]
[724.6355,723.0170]
[721.2726,719.4221]
[717.4864,715.4874]
[713.4479,711.3909]
[709.3398,707.3177]
[705.3476,703.4518]
[701.6518,699.9680]
[698.4194,697.0236]
[695.7965,694.7518]
[693.9016,693.2553]
[692.8203,692.6016]
[692.6016,692.8203]
[693.2553,693.9016]
[694.7518,695.7965]
[697.0236,698.4194]
[699.9680,701.6518]
[703.4518,705.3476]
[707.3177,709.3398]
[711.3909,713.4479]
[715.4874,717.4864]
[719.4221,721.2726]
[723.0170,724.6355]
[726.1097,727.4231]
[728.5606,729.5094]
[730.2587,730.8001]
[731.1274,731.2369]
[208.9631,211.0179]
[213.0494,215.0346]
[216.9510,218.7769]
[220.4917,222.0758]
[223.5113,224.7820]
